Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"Mathematics and Statistics",FA,"MATH",110,A,100,2, 2,"NH 251","MWF","12:15PM - 1:20PM",,,Second,"NH","251","12:15 PM","65","1:20 PM","Pre-Calculus","Dr. R John Ferdinands","","","In-person","Calc1","","2024-02-06T23:36:22-05:00"
"Mathematics and Statistics",SP,"MATH",132,A,100,4, 4,"NH 276","TTH","12:15PM - 1:55PM",,,Full,"NH","276","12:15 PM","100","1:55 PM","Calc for Mgt, Life, & Soc Sci","Staff","","","","","","2024-02-06T13:01:52-05:00"
"Mathematics and Statistics",FA,"MATH",171,A,100,4, 4,"NH 276","MWF","8:00AM - 9:05AM",,,Full,"NH","276","8:00 AM","65","9:05 AM","Calculus I","Dr. Michael David Bolt","","","In-person","Calc1","","2024-02-06T23:34:56-05:00"
"Mathematics and Statistics",SP,"MATH",171,A,100,4, 4,"NH 295","MWF","12:15PM - 1:20PM",,,Full,"NH","295","12:15 PM","65","1:20 PM","Calculus I","Dr. Christopher G. Moseley","","","In-person","Calc1","","2024-02-07T08:14:59-05:00"
"Mathematics and Statistics",FA,"MATH",171,B,100,4, 4,"NH 259","MWF","1:30PM - 2:35PM",,,Full,"NH","259","1:30 PM","65","2:35 PM","Calculus I","Staff","","","In-person","","","2024-02-06T23:37:54-05:00"
"Mathematics and Statistics",SP,"MATH",171,B,100,4, 4,"NH 295","MWF","2:45PM - 3:50PM",,,Full,"NH","295","2:45 PM","65","3:50 PM","Calculus I","Tim Pennings","","","In-person","Calc1","","2024-02-06T23:34:01-05:00"
"Mathematics and Statistics",FA,"MATH",171,C,100,4, 4,"NH 276","MWF","9:15AM - 10:20AM",,,Full,"NH","276","9:15 AM","65","10:20 AM","Calculus I","Dr. Michael David Bolt","","","In-person","Calc1","","2024-02-06T23:40:28-05:00"
"Mathematics and Statistics",FA,"MATH",171,D,100,4, 4,"NH 251","MWF","9:15AM - 10:20AM",,,Full,"NH","251","9:15 AM","65","10:20 AM","Calculus I","Dr. R John Ferdinands","","","In-person","Calc1","","2024-02-06T23:37:11-05:00"
"Mathematics and Statistics",FA,"MATH",171,E,100,4, 4,"NH 276","MWF","12:15PM - 1:20PM",,,Full,"NH","276","12:15 PM","65","1:20 PM","Calculus I","Staff","","","In-person","Calc1","","2024-02-06T23:37:32-05:00"
"Mathematics and Statistics",FA,"MATH",172,A,100,4, 4,"NH 251","MWF","8:00AM - 9:05AM",,,Full,"NH","251","8:00 AM","65","9:05 AM","Calculus II","Dr. R John Ferdinands","","","","","","2022-12-07T21:09:06-05:00"
"Mathematics and Statistics",FA,"MATH",172,B,100,4, 4,"NH 259","MWF","2:45PM - 3:50PM",,,Full,"NH","259","2:45 PM","65","3:50 PM","Calculus II","Tim Pennings","","","","","","2023-01-19T11:57:21-05:00"
"Mathematics and Statistics",SP,"MATH",172,B,100,4, 4,"NH 259","MWF","1:30PM - 2:35PM",,,Full,"NH","259","1:30 PM","65","2:35 PM","Calculus II","Dr. James Michael Turner","","","","","","2024-02-07T08:14:19-05:00"
"Mathematics and Statistics",SP,"MATH",172,C,100,4, 4,"NH 259","MWF","2:45PM - 3:50PM",,,Full,"NH","259","2:45 PM","65","3:50 PM","Calculus II","Dr. James Michael Turner","","","","","","2022-12-08T19:25:29-05:00"
"Mathematics and Statistics",SP,"MATH",172,D,100,4, 4,"NH 251","MWF","11:00AM - 12:05PM",,,Full,"NH","251","11:00 AM","65","12:05 PM","Calculus II","Dr. Christopher G. Moseley","","","","","","2024-02-07T08:09:14-05:00"
"Mathematics and Statistics",FA,"MATH",190,A,100,0, 0,"NH 261","W","2:45PM - 3:50PM",,,Full,"NH","261","2:45 PM","65","3:50 PM","First-year Seminar in Math","Dr. Thomas L. Scofield
Dr. R John Ferdinands","","","","","Move to T?","2024-02-06T13:14:23-05:00"
"Mathematics and Statistics",FA,"MATH",221,A,200,4, 4,"NH 251","MWF","1:30PM - 2:35PM",,,Full,"NH","251","1:30 PM","65","2:35 PM","Real Nbr Sys/Meth for Elem Sch","Dr. David B. Klanderman","","LEC","","","","2022-11-01T15:40:47-04:00"
"Mathematics and Statistics",SP,"MATH",221,B,200,4, 4,"NH 251","MWF","1:30PM - 2:35PM",,,Full,"NH","251","1:30 PM","65","2:35 PM","Real Nbr Sys/Meth for Elem Sch","Dr. David B. Klanderman","","LEC","","","","2022-11-01T15:38:23-04:00"
"Mathematics and Statistics",FA,"MATH",222,A,200,4, 4,"NH 251","MWF","2:45PM - 3:50PM",,,Full,"NH","251","2:45 PM","65","3:50 PM","Geometry/Meth for Elem Sch","Jenny Griffin","","","","","","2024-02-06T09:43:19-05:00"
"Mathematics and Statistics",SP,"MATH",222,A,200,4, 4,"NH 251","MWF","2:45PM - 3:50PM",,,Full,"NH","251","2:45 PM","65","3:50 PM","Geometry/Meth for Elem Sch","Jenny Griffin","","","","","","2024-02-06T09:42:26-05:00"
"Mathematics and Statistics",FA,"MATH",231,A,200,4, 4,"NH 251","MWF","11:00AM - 12:05PM",,,Full,"NH","251","11:00 AM","65","12:05 PM","Diff Equ With Linear Algebra","Dr. Thomas L. Scofield","","","","","","2024-02-06T12:53:20-05:00"
"Mathematics and Statistics",SP,"MATH",231,A,200,4, 4,"NH 276","MWF","9:15AM - 10:20AM",,,Full,"NH","276","9:15 AM","65","10:20 AM","Diff Equ With Linear Algebra","Dr. Michael David Bolt","","","","","","2024-02-07T08:13:30-05:00"
"Mathematics and Statistics",SP,"MATH",231,B,200,4, 4,"NH 276","MWF","11:00AM - 12:05PM",,,Full,"NH","276","11:00 AM","65","12:05 PM","Diff Equ With Linear Algebra","Dr. Michael David Bolt","","","","","","2024-02-06T13:03:20-05:00"
"Mathematics and Statistics",SP,"MATH",231,C,200,4, 4,"NH 295","MWF","1:30PM - 2:35PM",,,Full,"NH","295","1:30 PM","65","2:35 PM","Diff Equ With Linear Algebra","Dr. Christopher G. Moseley","","","","","","2024-02-07T08:14:33-05:00"
"Mathematics and Statistics",SP,"MATH",231,D,200,4, 4,"NH 251","MWF","9:15AM - 10:20AM",,,Full,"NH","251","9:15 AM","65","10:20 AM","Diff Equ With Linear Algebra","Dr. Todd M. Kapitula","","","","","","2024-02-07T08:13:22-05:00"
"Mathematics and Statistics",FA,"MATH",251,A,200,2, 2,"NH 276","MWF","1:30PM - 2:35PM",,,First,"NH","276","1:30 PM","65","2:35 PM","Discrete Mathematics","Dr. Christopher G. Moseley","","","","","","2022-12-07T21:27:17-05:00"
"Mathematics and Statistics",FA,"MATH",251,B,200,2, 2,"NH 276","MWF","2:45PM - 3:50PM",,,First,"NH","276","2:45 PM","65","3:50 PM","Discrete Mathematics","Dr. Christopher G. Moseley","","","","","","2022-12-07T21:27:39-05:00"
"Mathematics and Statistics",FA,"MATH",252,A,200,2, 2,"NH 276","MWF","1:30PM - 2:35PM",,,Second,"NH","276","1:30 PM","65","2:35 PM","Discrete Math for Computer Sci","Dr. Randall J Pruim","","","","","","2022-12-07T21:28:05-05:00"
"Mathematics and Statistics",FA,"MATH",252,B,200,2, 2,"NH 276","MWF","2:45PM - 3:50PM",,,Second,"NH","276","2:45 PM","65","3:50 PM","Discrete Math for Computer Sci","Dr. Randall J Pruim","","","","","","2022-12-07T21:28:22-05:00"
"Mathematics and Statistics",FA,"MATH",255,A,200,4, 4,"NH 259","MWF","12:15PM - 1:20PM",,,Full,"NH","259","12:15 PM","65","1:20 PM","Introductory Linear Algebra","Dr. Christopher G. Moseley","","","","","","2024-02-06T23:21:05-05:00"
"Mathematics and Statistics",FA,"MATH",271,A,200,4, 4,"NH New Room","MWF","9:15AM - 10:20AM",,,Full,"NH New","Room","9:15 AM","65","10:20 AM","Multivariable Calculus","Nathan S Sunukjian","","LEC","","","","2022-11-03T16:48:02-04:00"
"Mathematics and Statistics",SP,"MATH",271,A,200,4, 4,"NH New Room","MWF","1:30PM - 2:35PM",,,Full,"NH New","Room","1:30 PM","65","2:35 PM","Multivariable Calculus","Tim Pennings","","","","","","2024-02-06T23:48:13-05:00"
"Mathematics and Statistics",FA,"MATH",271,B,200,4, 4,"NH 295","MWF","11:00AM - 12:05PM",,,Full,"NH","295","11:00 AM","65","12:05 PM","Multivariable Calculus","Staff","","","","","","2024-02-06T23:30:04-05:00"
"Mathematics and Statistics",FA,"MATH",271,C,200,4, 4,"NH 295","MWF","12:15PM - 1:20PM",,,Full,"NH","295","12:15 PM","65","1:20 PM","Multivariable Calculus","Nathan S Sunukjian","","","","","","2024-02-06T23:28:06-05:00"
"Mathematics and Statistics",SP,"MATH",301,A,300,4, 4,"NH 259","TTH","12:15PM - 1:55PM",,,Full,"NH","259","12:15 PM","100","1:55 PM","Geometry","Dr. James Michael Turner","","LEC","","","","2022-11-02T20:49:23-04:00"
"Mathematics and Statistics",FA,"MATH",312,A,300,4, 4,"NH 295","TTH","2:10PM - 3:50PM",,,Full,"NH","295","2:10 PM","100","3:50 PM","Logic and Complexity","Dr. James Michael Turner","","","In-person","","","2024-02-07T08:17:53-05:00"
"Mathematics and Statistics",FA,"MATH",324,A,300,4, 4,"","","",,,Full,"","","","","","Teaching Mathematics in Elementary Grades: Internship I ","Erek Kooyman","","","In-person","","","2024-02-06T14:32:36-05:00"
"Mathematics and Statistics",SP,"MATH",324,A,300,4, 4,"NH 251","TTH","12:15PM - 1:55PM",,,Full,"NH","251","12:15 PM","100","1:55 PM","Teaching Mathematics in Elementary Grades: Internship I ","Jenny Griffin","","","In-person","","","2024-02-07T08:03:27-05:00"
"Mathematics and Statistics",FA,"MATH",333,A,300,4, 4,"NH 259","MWF","8:00AM - 9:05AM",,,Full,"NH","259","8:00 AM","65","9:05 AM","Partial Differential Equations","Dr. Thomas L. Scofield","","","In-person","","","2024-02-06T12:54:43-05:00"
"Mathematics and Statistics",SP,"MATH",351,A,300,4, 4,"NH 261","MWF","1:30PM - 2:35PM",,,Full,"NH","261","1:30 PM","65","2:35 PM","Abstract Algebra","Dr. R John Ferdinands","","","","","","2024-02-06T22:23:12-05:00"
"Mathematics and Statistics",SP,"MATH",355,A,300,4, 4,"NH 261","MWF","11:00AM - 12:05PM",,,Full,"NH","261","11:00 AM","65","12:05 PM","Adv Linear Algebra","Dr. Todd M. Kapitula","","","","","","2024-02-06T13:09:02-05:00"
"Mathematics and Statistics",FA,"MATH",361,A,300,4, 4,"NH 261","MWF","12:15PM - 1:20PM",,,Full,"NH","261","12:15 PM","65","1:20 PM","Real Analysis I","Dr. Michael David Bolt","","","","","","2022-12-07T21:16:24-05:00"
